[2020-12-29 10:29:06] Finnova.ERROR: (0) [curl] 6: Could not resolve host: fincrm.s3.us-west-1.wasabisys.com [url] https://fincrm.s3.us-west-1.wasabisys.com/Production/myoffice.fincrm.net/data/5f24073c81e84a1f5; GET /?entryPoint=LogoImage&id=5f24073c81e84a1f5; line: 258, file: /var/www/html/crm.fincrm.net/crm/task_cron/vendor/aws/aws-sdk-php/src/Aws/Common/Client/AbstractClient.php [] []
[2020-12-29 10:29:13] Finnova.ERROR: (0) [curl] 6: Could not resolve host: fincrm.s3.us-west-1.wasabisys.com [url] https://fincrm.s3.us-west-1.wasabisys.com/Production/myoffice.fincrm.net/data/5f522e176f7b4b6ba; GET /?entryPoint=avatar&size=small&id=1&t=1609237642503; line: 258, file: /var/www/html/crm.fincrm.net/crm/task_cron/vendor/aws/aws-sdk-php/src/Aws/Common/Client/AbstractClient.php [] []
[2020-12-29 10:29:21] Finnova.ERROR: (0) [curl] 6: Could not resolve host: fincrm.s3.us-west-1.wasabisys.com [url] https://fincrm.s3.us-west-1.wasabisys.com/Production/myoffice.fincrm.net/data/5fcf19cb57fd71571; GET /?entryPoint=image&id=5fcf19cb57fd71571&size=medium; line: 258, file: /var/www/html/crm.fincrm.net/crm/task_cron/vendor/aws/aws-sdk-php/src/Aws/Common/Client/AbstractClient.php [] []
[2020-12-29 10:29:21] Finnova.ERROR: (0) GD does not appear to be avaliable in your PHP installation. Please try another generator; GET /?entryPoint=avatar&size=small&id=5fa8e97dbf4b5b4ea&t=1609237642503; line: 15, file: /var/www/html/crm.fincrm.net/crm/vendor/yzalis/identicon/src/Identicon/Generator/GdGenerator.php [] []
[2020-12-29 10:40:50] Finnova.ERROR: (0) [curl] 6: Could not resolve host: fincrm.s3.us-west-1.wasabisys.com [url] https://fincrm.s3.us-west-1.wasabisys.com/Production/myoffice.fincrm.net/data/5f24073c81e84a1f5; GET /?entryPoint=LogoImage&id=5f24073c81e84a1f5; line: 258, file: /var/www/html/crm.fincrm.net/crm/task_cron/vendor/aws/aws-sdk-php/src/Aws/Common/Client/AbstractClient.php [] []
[2020-12-29 10:40:58] Finnova.ERROR: (0) [curl] 6: Could not resolve host: fincrm.s3.us-west-1.wasabisys.com [url] https://fincrm.s3.us-west-1.wasabisys.com/Production/myoffice.fincrm.net/data/5f522e176f7b4b6ba; GET /?entryPoint=avatar&size=small&id=1&t=1609237642503; line: 258, file: /var/www/html/crm.fincrm.net/crm/task_cron/vendor/aws/aws-sdk-php/src/Aws/Common/Client/AbstractClient.php [] []
[2020-12-29 10:40:58] Finnova.ERROR: (0) GD does not appear to be avaliable in your PHP installation. Please try another generator; GET /?entryPoint=avatar&size=small&id=5fa8e97dbf4b5b4ea&t=1609237642503; line: 15, file: /var/www/html/crm.fincrm.net/crm/vendor/yzalis/identicon/src/Identicon/Generator/GdGenerator.php [] []
[2020-12-29 10:41:05] Finnova.ERROR: (0) [curl] 6: Could not resolve host: fincrm.s3.us-west-1.wasabisys.com [url] https://fincrm.s3.us-west-1.wasabisys.com/Production/myoffice.fincrm.net/data/5fcf19cb57fd71571; GET /?entryPoint=image&id=5fcf19cb57fd71571&size=medium; line: 258, file: /var/www/html/crm.fincrm.net/crm/task_cron/vendor/aws/aws-sdk-php/src/Aws/Common/Client/AbstractClient.php [] []
[2020-12-29 10:41:44] Finnova.ERROR: (0) [curl] 6: Could not resolve host: fincrm.s3.us-west-1.wasabisys.com [url] https://fincrm.s3.us-west-1.wasabisys.com/Production/myoffice.fincrm.net/data/5f522e176f7b4b6ba; GET /?entryPoint=avatar&size=small&id=1&t=1609237642503; line: 258, file: /var/www/html/crm.fincrm.net/crm/task_cron/vendor/aws/aws-sdk-php/src/Aws/Common/Client/AbstractClient.php [] []
[2020-12-29 10:41:51] Finnova.ERROR: (0) [curl] 6: Could not resolve host: fincrm.s3.us-west-1.wasabisys.com [url] https://fincrm.s3.us-west-1.wasabisys.com/Production/myoffice.fincrm.net/data/5f24073c81e84a1f5; GET /?entryPoint=LogoImage&id=5f24073c81e84a1f5; line: 258, file: /var/www/html/crm.fincrm.net/crm/task_cron/vendor/aws/aws-sdk-php/src/Aws/Common/Client/AbstractClient.php [] []
[2020-12-29 10:41:51] Finnova.ERROR: (0) GD does not appear to be avaliable in your PHP installation. Please try another generator; GET /?entryPoint=avatar&size=small&id=5fa8e97dbf4b5b4ea&t=1609237642503; line: 15, file: /var/www/html/crm.fincrm.net/crm/vendor/yzalis/identicon/src/Identicon/Generator/GdGenerator.php [] []
[2020-12-29 10:41:58] Finnova.ERROR: (0) [curl] 6: Could not resolve host: fincrm.s3.us-west-1.wasabisys.com [url] https://fincrm.s3.us-west-1.wasabisys.com/Production/myoffice.fincrm.net/data/5fcf19cb57fd71571; GET /?entryPoint=image&id=5fcf19cb57fd71571&size=medium; line: 258, file: /var/www/html/crm.fincrm.net/crm/task_cron/vendor/aws/aws-sdk-php/src/Aws/Common/Client/AbstractClient.php [] []
[2020-12-29 10:42:38] Finnova.ERROR: (0) [curl] 6: Could not resolve host: fincrm.s3.us-west-1.wasabisys.com [url] https://fincrm.s3.us-west-1.wasabisys.com/Production/myoffice.fincrm.net/data/5f24073c81e84a1f5; GET /?entryPoint=LogoImage&id=5f24073c81e84a1f5; line: 258, file: /var/www/html/crm.fincrm.net/crm/task_cron/vendor/aws/aws-sdk-php/src/Aws/Common/Client/AbstractClient.php [] []
[2020-12-29 10:42:45] Finnova.ERROR: (0) [curl] 6: Could not resolve host: fincrm.s3.us-west-1.wasabisys.com [url] https://fincrm.s3.us-west-1.wasabisys.com/Production/myoffice.fincrm.net/data/5f522e176f7b4b6ba; GET /?entryPoint=avatar&size=small&id=1&t=1609237642503; line: 258, file: /var/www/html/crm.fincrm.net/crm/task_cron/vendor/aws/aws-sdk-php/src/Aws/Common/Client/AbstractClient.php [] []
[2020-12-29 10:42:53] Finnova.ERROR: (0) [curl] 6: Could not resolve host: fincrm.s3.us-west-1.wasabisys.com [url] https://fincrm.s3.us-west-1.wasabisys.com/Production/myoffice.fincrm.net/data/5fcf19cb57fd71571; GET /?entryPoint=image&id=5fcf19cb57fd71571&size=medium; line: 258, file: /var/www/html/crm.fincrm.net/crm/task_cron/vendor/aws/aws-sdk-php/src/Aws/Common/Client/AbstractClient.php [] []
[2020-12-29 10:42:53] Finnova.ERROR: (0) GD does not appear to be avaliable in your PHP installation. Please try another generator; GET /?entryPoint=avatar&size=small&id=5fa8e97dbf4b5b4ea&t=1609237642503; line: 15, file: /var/www/html/crm.fincrm.net/crm/vendor/yzalis/identicon/src/Identicon/Generator/GdGenerator.php [] []
[2020-12-29 10:43:01] Finnova.ERROR: (0) [curl] 6: Could not resolve host: fincrm.s3.us-west-1.wasabisys.com [url] https://fincrm.s3.us-west-1.wasabisys.com/Production/myoffice.fincrm.net/data/5f24073c81e84a1f5; GET /?entryPoint=LogoImage&id=5f24073c81e84a1f5; line: 258, file: /var/www/html/crm.fincrm.net/crm/task_cron/vendor/aws/aws-sdk-php/src/Aws/Common/Client/AbstractClient.php [] []
[2020-12-29 10:43:09] Finnova.ERROR: (0) [curl] 6: Could not resolve host: fincrm.s3.us-west-1.wasabisys.com [url] https://fincrm.s3.us-west-1.wasabisys.com/Production/myoffice.fincrm.net/data/5f522e176f7b4b6ba; GET /?entryPoint=avatar&size=small&id=1&t=1609237642503; line: 258, file: /var/www/html/crm.fincrm.net/crm/task_cron/vendor/aws/aws-sdk-php/src/Aws/Common/Client/AbstractClient.php [] []
[2020-12-29 10:43:09] Finnova.ERROR: (0) GD does not appear to be avaliable in your PHP installation. Please try another generator; GET /?entryPoint=avatar&size=small&id=5fa8e97dbf4b5b4ea&t=1609237642503; line: 15, file: /var/www/html/crm.fincrm.net/crm/vendor/yzalis/identicon/src/Identicon/Generator/GdGenerator.php [] []
[2020-12-29 10:43:16] Finnova.ERROR: (0) [curl] 6: Could not resolve host: fincrm.s3.us-west-1.wasabisys.com [url] https://fincrm.s3.us-west-1.wasabisys.com/Production/myoffice.fincrm.net/data/5fcf19cb57fd71571; GET /?entryPoint=image&id=5fcf19cb57fd71571&size=medium; line: 258, file: /var/www/html/crm.fincrm.net/crm/task_cron/vendor/aws/aws-sdk-php/src/Aws/Common/Client/AbstractClient.php [] []
[2020-12-29 10:46:07] Finnova.ERROR: (0) [curl] 6: Could not resolve host: fincrm.s3.us-west-1.wasabisys.com [url] https://fincrm.s3.us-west-1.wasabisys.com/Production/myoffice.fincrm.net/data/5f24073c81e84a1f5; GET /?entryPoint=LogoImage&id=5f24073c81e84a1f5; line: 258, file: /var/www/html/crm.fincrm.net/crm/task_cron/vendor/aws/aws-sdk-php/src/Aws/Common/Client/AbstractClient.php [] []
[2020-12-29 10:46:14] Finnova.ERROR: (0) [curl] 6: Could not resolve host: fincrm.s3.us-west-1.wasabisys.com [url] https://fincrm.s3.us-west-1.wasabisys.com/Production/myoffice.fincrm.net/data/5f522e176f7b4b6ba; GET /?entryPoint=avatar&size=small&id=1&t=1609237642503; line: 258, file: /var/www/html/crm.fincrm.net/crm/task_cron/vendor/aws/aws-sdk-php/src/Aws/Common/Client/AbstractClient.php [] []
[2020-12-29 10:46:22] Finnova.ERROR: (0) [curl] 6: Could not resolve host: fincrm.s3.us-west-1.wasabisys.com [url] https://fincrm.s3.us-west-1.wasabisys.com/Production/myoffice.fincrm.net/data/5fcf19cb57fd71571; GET /?entryPoint=image&id=5fcf19cb57fd71571&size=medium; line: 258, file: /var/www/html/crm.fincrm.net/crm/task_cron/vendor/aws/aws-sdk-php/src/Aws/Common/Client/AbstractClient.php [] []
[2020-12-29 10:46:22] Finnova.ERROR: (0) GD does not appear to be avaliable in your PHP installation. Please try another generator; GET /?entryPoint=avatar&size=small&id=5fa8e97dbf4b5b4ea&t=1609237642503; line: 15, file: /var/www/html/crm.fincrm.net/crm/vendor/yzalis/identicon/src/Identicon/Generator/GdGenerator.php [] []
[2020-12-29 10:47:19] Finnova.ERROR: (0) [curl] 6: Could not resolve host: fincrm.s3.us-west-1.wasabisys.com [url] https://fincrm.s3.us-west-1.wasabisys.com/Production/myoffice.fincrm.net/data/5f24073c81e84a1f5; GET /?entryPoint=LogoImage&id=5f24073c81e84a1f5; line: 258, file: /var/www/html/crm.fincrm.net/crm/task_cron/vendor/aws/aws-sdk-php/src/Aws/Common/Client/AbstractClient.php [] []
[2020-12-29 10:47:26] Finnova.ERROR: (0) [curl] 6: Could not resolve host: fincrm.s3.us-west-1.wasabisys.com [url] https://fincrm.s3.us-west-1.wasabisys.com/Production/myoffice.fincrm.net/data/5f522e176f7b4b6ba; GET /?entryPoint=avatar&size=small&id=1&t=1609237642503; line: 258, file: /var/www/html/crm.fincrm.net/crm/task_cron/vendor/aws/aws-sdk-php/src/Aws/Common/Client/AbstractClient.php [] []
[2020-12-29 10:47:26] Finnova.ERROR: (0) GD does not appear to be avaliable in your PHP installation. Please try another generator; GET /?entryPoint=avatar&size=small&id=5fa8e97dbf4b5b4ea&t=1609237642503; line: 15, file: /var/www/html/crm.fincrm.net/crm/vendor/yzalis/identicon/src/Identicon/Generator/GdGenerator.php [] []
[2020-12-29 10:47:34] Finnova.ERROR: (0) [curl] 6: Could not resolve host: fincrm.s3.us-west-1.wasabisys.com [url] https://fincrm.s3.us-west-1.wasabisys.com/Production/myoffice.fincrm.net/data/5fcf19cb57fd71571; GET /?entryPoint=image&id=5fcf19cb57fd71571&size=medium; line: 258, file: /var/www/html/crm.fincrm.net/crm/task_cron/vendor/aws/aws-sdk-php/src/Aws/Common/Client/AbstractClient.php [] []
[2020-12-29 10:48:12] Finnova.ERROR: (0) [curl] 6: Could not resolve host: fincrm.s3.us-west-1.wasabisys.com [url] https://fincrm.s3.us-west-1.wasabisys.com/Production/myoffice.fincrm.net/data/5f24073c81e84a1f5; GET /?entryPoint=LogoImage&id=5f24073c81e84a1f5; line: 258, file: /var/www/html/crm.fincrm.net/crm/task_cron/vendor/aws/aws-sdk-php/src/Aws/Common/Client/AbstractClient.php [] []
[2020-12-29 10:48:20] Finnova.ERROR: (0) [curl] 6: Could not resolve host: fincrm.s3.us-west-1.wasabisys.com [url] https://fincrm.s3.us-west-1.wasabisys.com/Production/myoffice.fincrm.net/data/5f522e176f7b4b6ba; GET /?entryPoint=avatar&size=small&id=1&t=1609237642503; line: 258, file: /var/www/html/crm.fincrm.net/crm/task_cron/vendor/aws/aws-sdk-php/src/Aws/Common/Client/AbstractClient.php [] []
[2020-12-29 10:48:20] Finnova.ERROR: (0) GD does not appear to be avaliable in your PHP installation. Please try another generator; GET /?entryPoint=avatar&size=small&id=5fa8e97dbf4b5b4ea&t=1609237642503; line: 15, file: /var/www/html/crm.fincrm.net/crm/vendor/yzalis/identicon/src/Identicon/Generator/GdGenerator.php [] []
[2020-12-29 10:48:27] Finnova.ERROR: (0) [curl] 6: Could not resolve host: fincrm.s3.us-west-1.wasabisys.com [url] https://fincrm.s3.us-west-1.wasabisys.com/Production/myoffice.fincrm.net/data/5fcf19cb57fd71571; GET /?entryPoint=image&id=5fcf19cb57fd71571&size=medium; line: 258, file: /var/www/html/crm.fincrm.net/crm/task_cron/vendor/aws/aws-sdk-php/src/Aws/Common/Client/AbstractClient.php [] []
[2020-12-29 10:49:21] Finnova.ERROR: (0) [curl] 6: Could not resolve host: fincrm.s3.us-west-1.wasabisys.com [url] https://fincrm.s3.us-west-1.wasabisys.com/Production/myoffice.fincrm.net/data/5f522e176f7b4b6ba; GET /?entryPoint=avatar&size=small&id=1&t=1609237642503; line: 258, file: /var/www/html/crm.fincrm.net/crm/task_cron/vendor/aws/aws-sdk-php/src/Aws/Common/Client/AbstractClient.php [] []
[2020-12-29 10:49:21] Finnova.ERROR: (0) GD does not appear to be avaliable in your PHP installation. Please try another generator; GET /?entryPoint=avatar&size=small&id=5fa8e97dbf4b5b4ea&t=1609237642503; line: 15, file: /var/www/html/crm.fincrm.net/crm/vendor/yzalis/identicon/src/Identicon/Generator/GdGenerator.php [] []
[2020-12-29 10:49:28] Finnova.ERROR: (0) [curl] 6: Could not resolve host: fincrm.s3.us-west-1.wasabisys.com [url] https://fincrm.s3.us-west-1.wasabisys.com/Production/myoffice.fincrm.net/data/5fcf19cb57fd71571; GET /?entryPoint=image&id=5fcf19cb57fd71571&size=medium; line: 258, file: /var/www/html/crm.fincrm.net/crm/task_cron/vendor/aws/aws-sdk-php/src/Aws/Common/Client/AbstractClient.php [] []
[2020-12-29 11:39:14] Finnova.ERROR: (0) [curl] 6: Could not resolve host: fincrm.s3.us-west-1.wasabisys.com [url] https://fincrm.s3.us-west-1.wasabisys.com/Production/myoffice.fincrm.net/data/5f522e176f7b4b6ba; GET /?entryPoint=avatar&size=small&id=1&t=1609241944952; line: 258, file: /var/www/html/crm.fincrm.net/crm/task_cron/vendor/aws/aws-sdk-php/src/Aws/Common/Client/AbstractClient.php [] []
[2020-12-29 11:50:45] Finnova.ERROR: (0) GD does not appear to be avaliable in your PHP installation. Please try another generator; GET /?entryPoint=avatar&size=small&id=5f5a34dc2d288b4b6&t=1609241944952; line: 15, file: /var/www/html/crm.fincrm.net/crm/vendor/yzalis/identicon/src/Identicon/Generator/GdGenerator.php [] []
[2020-12-29 11:50:45] Finnova.ERROR: (0) GD does not appear to be avaliable in your PHP installation. Please try another generator; GET /?entryPoint=avatar&size=small&id=5fa1307328f5c6f42&t=1609241944952; line: 15, file: /var/www/html/crm.fincrm.net/crm/vendor/yzalis/identicon/src/Identicon/Generator/GdGenerator.php [] []
[2020-12-29 11:50:46] Finnova.ERROR: (0) GD does not appear to be avaliable in your PHP installation. Please try another generator; GET /?entryPoint=avatar&size=small&id=5f571aeea74565fad&t=1609241944952; line: 15, file: /var/www/html/crm.fincrm.net/crm/vendor/yzalis/identicon/src/Identicon/Generator/GdGenerator.php [] []
[2020-12-29 11:50:46] Finnova.ERROR: (0) GD does not appear to be avaliable in your PHP installation. Please try another generator; GET /?entryPoint=avatar&size=small&id=5f763fe4b1fabd6fb&t=1609241944952; line: 15, file: /var/www/html/crm.fincrm.net/crm/vendor/yzalis/identicon/src/Identicon/Generator/GdGenerator.php [] []
[2020-12-29 11:50:53] Finnova.ERROR: (0) [curl] 6: Could not resolve host: fincrm.s3.us-west-1.wasabisys.com [url] https://fincrm.s3.us-west-1.wasabisys.com/Production/myoffice.fincrm.net/data/5f522e176f7b4b6ba; GET /?entryPoint=avatar&size=small&id=1&t=1609241944952; line: 258, file: /var/www/html/crm.fincrm.net/crm/task_cron/vendor/aws/aws-sdk-php/src/Aws/Common/Client/AbstractClient.php [] []
[2020-12-29 11:50:53] Finnova.ERROR: (0) GD does not appear to be avaliable in your PHP installation. Please try another generator; GET /?entryPoint=avatar&size=small&id=5f58767bb7fac5c3b&t=1609241944952; line: 15, file: /var/www/html/crm.fincrm.net/crm/vendor/yzalis/identicon/src/Identicon/Generator/GdGenerator.php [] []
[2020-12-29 11:50:53] Finnova.ERROR: (0) GD does not appear to be avaliable in your PHP installation. Please try another generator; GET /?entryPoint=avatar&size=small&id=5fa132fa5e6d34cf7&t=1609241944952; line: 15, file: /var/www/html/crm.fincrm.net/crm/vendor/yzalis/identicon/src/Identicon/Generator/GdGenerator.php [] []
[2020-12-29 11:50:53] Finnova.ERROR: (0) GD does not appear to be avaliable in your PHP installation. Please try another generator; GET /?entryPoint=avatar&size=small&id=5f6733310b63f38f8&t=1609241944952; line: 15, file: /var/www/html/crm.fincrm.net/crm/vendor/yzalis/identicon/src/Identicon/Generator/GdGenerator.php [] []
[2020-12-29 11:50:53] Finnova.ERROR: (0) GD does not appear to be avaliable in your PHP installation. Please try another generator; GET /?entryPoint=avatar&size=small&id=5fa12d76e8d81082f&t=1609241944952; line: 15, file: /var/www/html/crm.fincrm.net/crm/vendor/yzalis/identicon/src/Identicon/Generator/GdGenerator.php [] []
[2020-12-29 11:50:53] Finnova.ERROR: (0) GD does not appear to be avaliable in your PHP installation. Please try another generator; GET /?entryPoint=avatar&size=small&id=5f523cd77348c026a&t=1609241944952; line: 15, file: /var/www/html/crm.fincrm.net/crm/vendor/yzalis/identicon/src/Identicon/Generator/GdGenerator.php [] []
[2020-12-29 11:50:54] Finnova.ERROR: (0) GD does not appear to be avaliable in your PHP installation. Please try another generator; GET /?entryPoint=avatar&size=small&id=5fb75ace3518ad7c9&t=1609241944952; line: 15, file: /var/www/html/crm.fincrm.net/crm/vendor/yzalis/identicon/src/Identicon/Generator/GdGenerator.php [] []
[2020-12-29 11:50:54] Finnova.ERROR: (0) GD does not appear to be avaliable in your PHP installation. Please try another generator; GET /?entryPoint=avatar&size=small&id=5fbba5b4ba61b6712&t=1609241944952; line: 15, file: /var/www/html/crm.fincrm.net/crm/vendor/yzalis/identicon/src/Identicon/Generator/GdGenerator.php [] []
[2020-12-29 11:50:54] Finnova.ERROR: (0) GD does not appear to be avaliable in your PHP installation. Please try another generator; GET /?entryPoint=avatar&size=small&id=5f571417a0445d526&t=1609241944952; line: 15, file: /var/www/html/crm.fincrm.net/crm/vendor/yzalis/identicon/src/Identicon/Generator/GdGenerator.php [] []
[2020-12-29 11:50:54] Finnova.ERROR: (0) GD does not appear to be avaliable in your PHP installation. Please try another generator; GET /?entryPoint=avatar&size=small&id=5fa8d0a61a84cdabc&t=1609241944952; line: 15, file: /var/www/html/crm.fincrm.net/crm/vendor/yzalis/identicon/src/Identicon/Generator/GdGenerator.php [] []
[2020-12-29 11:50:54] Finnova.ERROR: (0) GD does not appear to be avaliable in your PHP installation. Please try another generator; GET /?entryPoint=avatar&size=small&id=5fa8e97dbf4b5b4ea&t=1609241944952; line: 15, file: /var/www/html/crm.fincrm.net/crm/vendor/yzalis/identicon/src/Identicon/Generator/GdGenerator.php [] []
[2020-12-29 11:50:54] Finnova.ERROR: (0) GD does not appear to be avaliable in your PHP installation. Please try another generator; GET /?entryPoint=avatar&size=small&id=5fb745d96b62e1077&t=1609241944952; line: 15, file: /var/www/html/crm.fincrm.net/crm/vendor/yzalis/identicon/src/Identicon/Generator/GdGenerator.php [] []
[2020-12-29 11:50:54] Finnova.ERROR: (0) GD does not appear to be avaliable in your PHP installation. Please try another generator; GET /?entryPoint=avatar&size=small&id=5f5872ecbb963027a&t=1609241944952; line: 15, file: /var/www/html/crm.fincrm.net/crm/vendor/yzalis/identicon/src/Identicon/Generator/GdGenerator.php [] []
[2020-12-29 11:50:55] Finnova.ERROR: (0) GD does not appear to be avaliable in your PHP installation. Please try another generator; GET /?entryPoint=avatar&size=small&id=5f97cfe3d09bdae2c&t=1609241944952; line: 15, file: /var/www/html/crm.fincrm.net/crm/vendor/yzalis/identicon/src/Identicon/Generator/GdGenerator.php [] []
[2020-12-29 11:50:55] Finnova.ERROR: (0) GD does not appear to be avaliable in your PHP installation. Please try another generator; GET /?entryPoint=avatar&size=small&id=5f538e5152a282b25&t=1609241944952; line: 15, file: /var/www/html/crm.fincrm.net/crm/vendor/yzalis/identicon/src/Identicon/Generator/GdGenerator.php [] []
[2020-12-29 11:50:55] Finnova.ERROR: (0) GD does not appear to be avaliable in your PHP installation. Please try another generator; GET /?entryPoint=avatar&size=small&id=5f59f50b838932552&t=1609241944952; line: 15, file: /var/www/html/crm.fincrm.net/crm/vendor/yzalis/identicon/src/Identicon/Generator/GdGenerator.php [] []
[2020-12-29 11:51:04] Finnova.ERROR: (0) [curl] 6: Could not resolve host: fincrm.s3.us-west-1.wasabisys.com [url] https://fincrm.s3.us-west-1.wasabisys.com/Production/myoffice.fincrm.net/data/5f522e176f7b4b6ba; GET /?entryPoint=avatar&size=small&id=1&t=1609242655250&attachmentId=5f522e176f7b4b6ba; line: 258, file: /var/www/html/crm.fincrm.net/crm/task_cron/vendor/aws/aws-sdk-php/src/Aws/Common/Client/AbstractClient.php [] []
[2020-12-29 11:51:04] Finnova.ERROR: (0) GD does not appear to be avaliable in your PHP installation. Please try another generator; GET /?entryPoint=avatar&size=small&id=5fa8e97dbf4b5b4ea&t=1609241944952; line: 15, file: /var/www/html/crm.fincrm.net/crm/vendor/yzalis/identicon/src/Identicon/Generator/GdGenerator.php [] []
